source,target
C00002752,CCL5
C00002752,CCL8
C00002752,LPA
C00002752,CD8A
C00031402,APP
C00031402,NRP1
C00031402,JAK2
C00031402,GLP1R
C00031402,GNAS
C00031402,UBA2
C00031402,PTPN11
C00031402,PADI4
C00031402,CTNNB1
C00031402,PTPN22
C00031402,EPAS1
C00031402,UBE2I
C00031402,RAPGEF3
C00031402,STAT1
C00031402,EIF2AK3
C00031402,OXTR
C00031402,PRKACB
C00031402,GAPDH
C00031402,ALPL
C00031402,GPR35
C00031402,IL1B
C00031402,AVPR1A
C00031402,PABPC1
C00031402,PPARG
C00031402,NCOA2
C00031402,GNAI1
C00031402,RAPGEF4
C00031402,SENP6
C00031402,TP53
C00031402,MAPK1
C00031402,MAP3K3
C00031402,NCOA1
C00031402,NFKB1
C00031402,HDAC3
C00031402,AKT1
C00031402,PNPLA2
C00031402,MOGAT3
C00031402,DGKG
C00031402,CLPS
C00031402,DGKA
C00029633,GNAI1
C00029633,CTNNB1
C00029633,PTPN22
C00029633,OXTR
C00029633,TP53
C00029633,SENP6
C00029633,UBE2I
C00029633,GAPDH
C00029633,MAPK1
C00029633,GPR35
C00029633,MAP3K3
C00029633,AVPR1A
C00029633,PABPC1
C00029633,HDAC3
C00029633,UBA2
C00029633,PADI4
C00029633,PRMT6
C00029633,HMGA2
C00029633,NKX2-5
C00029633,IVL
C00001552,GNAI1
C00001552,TP53
C00001552,TNF
C00001552,MAPK1
C00001552,PPARA
C00001552,ATF6
C00001552,NFKB1
C00001552,NCOA2
C00001552,JUN
C00001552,IFI6
C00001552,SLC40A1
C00001552,GPAM
C00001552,TF
C00001552,GK2
C00003817,APP
C00003817,NRP1
C00003817,GLP1R
C00003817,GNAS
C00003817,ATF6
C00003817,NR3C1
C00003817,PADI4
C00003817,TNF
C00003817,EPAS1
C00003817,EGFR
C00003817,RAPGEF3
C00003817,GCK
C00003817,OXTR
C00003817,PRKACB
C00003817,PON1
C00003817,GAPDH
C00003817,PPARA
C00003817,IL1B
C00003817,AVPR1A
C00003817,PABPC1
C00003817,PPARG
C00003817,NCOA2
C00003817,GNAI1
C00003817,RAPGEF4
C00003817,SENP6
C00003817,TP53
C00003817,GCKR
C00003817,MTOR
C00003817,MAPK1
C00003817,MAP3K3
C00003817,NCOA1
C00003817,NFKB1
C00003817,HDAC3
C00003817,JUN
C00003817,TOP2A
C00003817,CSNK2A1
C00003817,SREBF2
C00003817,APOA2
C00003817,SLC2A4
C00003817,UCP1
C00003817,SERPINE1
C00001071,APP
C00001071,NRP1
C00001071,GLP1R
C00001071,GNAS
C00001071,NR3C1
C00001071,PADI4
C00001071,EPAS1
C00001071,RAPGEF3
C00001071,GCK
C00001071,OXTR
C00001071,PRKACB
C00001071,GAPDH
C00001071,ALPL
C00001071,GPR35
C00001071,IL1B
C00001071,AVPR1A
C00001071,PABPC1
C00001071,NCOA2
C00001071,GNAI1
C00001071,RAPGEF4
C00001071,SENP6
C00001071,TP53
C00001071,GCKR
C00001071,MTOR
C00001071,MAPK1
C00001071,NCOA1
C00001071,PIK3CA
C00001071,NFKB1
C00001071,HDAC3
C00001071,TOP2A
C00001071,AKT1
C00001071,SLC2A4
C00001071,UCP1
C00001071,SERPINE1
C00001071,RETN
C00001071,UBC
C00007366,LCK
C00007366,NRP1
C00007366,GLP1R
C00007366,GNAS
C00007366,ATF6
C00007366,NR3C1
C00007366,PADI4
C00007366,FLT1
C00007366,MAPK14
C00007366,PRKCA
C00007366,EPAS1
C00007366,EGFR
C00007366,CCR5
C00007366,RAPGEF3
C00007366,ADRA2A
C00007366,MAOA
C00007366,FYN
C00007366,CALCR
C00007366,OXTR
C00007366,PRKACB
C00007366,MMP9
C00007366,GAPDH
C00007366,IL1B
C00007366,AVPR1A
C00007366,PABPC1
C00007366,NCOA2
C00007366,BDKRB2
C00007366,GNAI1
C00007366,RAPGEF4
C00007366,SENP6
C00007366,TP53
C00007366,MAPK1
C00007366,MAP3K3
C00007366,NCOA1
C00007366,HDAC3
C00007366,JUN
C00007366,AKT1
C00007366,SENP1
C00007366,UBE2I
C00007366,PPARA
C00007366,LEP
C00008318,PTPN1
C00008318,SENP1
C00008318,SENP6
C00008318,UBE2I
