source,target
UCP3,PPARG
LEP,ATIC
SLC2A4,ATIC
PPARG,INS
C10orf10,UCP1
UCP2,UCP1
UCP2,C10orf10
UCP3,UCP2
C10orf10,PPARA
PPARG,PPARA
C10orf10,INS
SLC2A4,PPARG
UCP2,INS
LEP,UCP2
SLC2A4,UCP2
INS,ATIC
UCP3,LEP
LEP,PPARG
UCP2,SP3
MAP3K11,LRP8
MAP2K7,LRP8
FYN,MAP3K11
MAPK8,MAPK8IP1
MAPK8,MAP3K11
MAPK9,MAP2K7
MAP3K11,APP
MAP2K7,MAPK8IP3
MAPK8,MAPK8IP3
AKT1,MAPK8IP1
MAPK9,MAPK8
MAPK8,AKT1
FYN,MAPK8IP3
MAP2K7,MAPK8IP1
FYN,LRP8
KLC1,MAPK8IP1
APP,AKT1
MAP2K7,MAPK8
LRP8,MAPK8IP1
MAP3K11,MAPK8IP3
MAP3K11,MAPK8IP1
MAPK8,FYN
KLC1,APP
MAPK9,APP
MAPK9,MAPK8IP3
FYN,AKT1
MAPK8,LRP8
APP,MAPK8IP1
FYN,MAPK8IP1
KLC1,MAPK8IP3
MAPK8,APP
FYN,APP
MAPK9,MAPK8IP1
MAP2K7,MAP3K11
MAP3K11,AKT1
MAPK9,AKT1
MAPK9,FYN
MAPK8IP3,MAPK8IP1
MAP2K7,FYN
RAPGEF4,PRKACB
ABCC8,INS
KCNJ11,PRKACA
RAPGEF3,KCNJ11
INS,KCNJ8
PRKACB,KCNJ11
KCNJ11,KCNJ8
RAPGEF4,PRKACA
ABCC8,RAPGEF3
ABCC8,KCNJ11
ABCC8,PRKACB
RAPGEF3,PRKACA
RAPGEF3,PRKACB
ABCC8,FOXA2
RAPGEF4,KCNJ11
RAPGEF4,RAPGEF3
RAPGEF4,INS
ABCC8,KCNJ8
RAPGEF4,ABCC8
ABCC8,TRPM4
ABCC8,PRKACA
RAPGEF3,INS
ABCC8,PRKACG
PRKACG,KCNJ11
KCNJ11,INS
KCNJ11,FOXA2
KCNJ11,ABCC9
AMPD1,KCNJ11
RAPGEF4,ABCC9
ABCC9,KCNJ8
RAPGEF3,ABCC9
PDX1,IRS2
IGF1,AKT1
FOXO1,IRS1
IRS2,AKT1
IGF1,RPS6KB1
IGFBP1,IGF1R
FOXO1,INSR
IRS1,IGFBP1
IRS1,IGF1
AKT1,RPS6KB1
IGFBP1,INS
IRS1,AKT1
FOXO1,IGF1R
FOXO1,RPS6KB1
IRS2,IGFBP1
FOXO1,AKT1
IRS2,RPS6KB1
PDX1,IRS1
AKT1,IGF1R
IRS1,IGF1R
FOXO1,IGF1
FOXO1,IRS2
IGF1,IGFBP1
INSR,RPS6KB1
PDX1,INSR
IGFBP1,AKT1
INS,RPS6KB1
IRS1,RPS6KB1
IGF1R,RPS6KB1
INSR,IGFBP1
FOXO1,IGFBP1
TLE1,TLE2
CTBP1,EP300
TLE1,CTBP1
TLE1,JUP
TCF7L2,CTNNB1
TCF7L2,JUP
TLE1,AXIN2
CTNNB1,AXIN2
TLE1,CREBBP
TCF7L2,CTBP1
TCF7L2,AXIN2
TLE4,EP300
JUP,CREBBP
TLE4,JUP
TLE4,CTNNB1
JUP,TLE2
JUP,AXIN2
CTNNB1,CTBP1
TCF7L2,TLE1
TCF7L2,TLE2
CTNNB1,JUP
EP300,TLE2
TLE4,CTBP1
AXIN2,TLE2
CTBP1,CREBBP
TLE4,CREBBP
TLE4,TLE1
TLE2,CREBBP
TCF7L2,CREBBP
CTNNB1,EP300
AXIN2,CTBP1
JUP,EP300
TCF7L2,EP300
TCF7L2,TLE4
TLE1,EP300
TCF7L2,GCG
CTBP1,TLE2
TLE1,CTNNB1
TLE4,TLE2
CTNNB1,TLE2
EP300,CREBBP
TNFRSF18,IL2
IL2RG,CD4
STAT5B,CD8A
CD8A,IL7
STAT5B,CD4
TNFRSF18,IL2RB
STAT3,IL2
IL2RG,CD8A
IL2RG,TNFRSF18
IL2RA,IL2
IL2RB,CD4
FOXP3,STAT3
STAT5B,STAT3
IL2RA,TNFRSF18
FOXP3,STAT5B
STAT3,CD4
IL7,IL2
IL2RA,STAT5B
CD8A,IL2RB
IL2RA,IL7
IL7,IL2RB
IL2RA,STAT3
FOXP3,IL2RB
IL2RG,STAT5B
IL2RG,IL2RB
STAT3,IL2RB
FOXP3,IL7
IL2RG,IL2
IL2,IL2RB
IL2RG,IL7
TNFRSF18,CD8A
IL2RA,IL2RG
STAT5B,IL7
IL2RA,CD8A
FOXP3,TNFRSF18
STAT5B,IL2
IL7,CD4
IL2RG,STAT3
TNFRSF18,CD4
CD8A,STAT3
IL2RA,IL2RB
FOXP3,IL2RG
STAT5B,IL2RB
IL2RA,CD4
IL2RA,FOXP3
MGLL,MOGAT3
